대학교명,url,desc
삼육대학교,http://ipsi.syu.ac.kr/2016_syu/main/main.asp,삼육대학교 입학처
상명대학교,https://admission.smu.ac.kr/iphak_home.html,상명대학교 입학처
상명대학교(천안),https://admission.smu.ac.kr/iphak_home.html,상명대학교(천안) 입학처
상지대학교,https://go.sangji.ac.kr/go/index.do,상지대학교 입학처
서강대학교,https://admission.sogang.ac.kr/enter/html/main/index.asp#firstPage,서강대학교 입학처
서경대학교,https://go.skuniv.ac.kr/#main,서경대학교 입학처
서울과학기술대학교,https://admission.seoultech.ac.kr/index.do,서울과학기술대학교 입학처
서울교육대학교,https://admission.snue.ac.kr/admission/main.do,서울교육대학교 입학처
서울대학교,https://admission.snu.ac.kr/index.html,서울대학교 입학처
서울시립대학교,https://admission.uos.ac.kr/admission/main.do?epTicket=LOG,서울시립대학교 입학처
서울여자대학교,https://admission.swu.ac.kr/main.php,서울여자대학교 입학처
서원대학교,https://www.seowon.ac.kr/iphak/index.do,서원대학교 입학처
선문대학교,https://ilove.sunmoon.ac.kr/main.do,선문대학교 입학처
성결대학교,https://www.sungkyul.ac.kr/ipsi/index.do,성결대학교 입학처
성공회대학교,https://enter.skhu.ac.kr/enter/index.do,성공회대학교 입학처
성균관대학교,https://admission.skku.edu/admission/html/main/main.html,성균관대학교 입학처
성신여자대학교,https://ipsi.sungshin.ac.kr/main.htm,성신여자대학교 입학처
세명대학교,https://ipsi.semyung.ac.kr/,세명대학교 입학처
세종대학교,https://ipsi.sejong.ac.kr/,세종대학교 입학처
세한대학교,https://apply.sehan.ac.kr/apply/,세한대학교 입학처
송원대학교,https://iphak.songwon.ac.kr/,송원대학교 입학처
수원대학교,https://ipsi.suwon.ac.kr/,수원대학교 입학처
숙명여자대학교,https://admission.sookmyung.ac.kr/admission/html/main/main.asp,숙명여자대학교 입학처
순천대학교,https://www.scnu.ac.kr/iphak/main.do,순천대학교 입학처
순천향대학교,https://ipsi.sch.ac.kr/main.do,순천향대학교 입학처
숭실대학교,https://iphak.ssu.ac.kr/,숭실대학교 입학처
신라대학교,https://ipsi.silla.ac.kr/ipsi/?pCode=main,신라대학교 입학처
신한대학교,https://ipsi.shinhan.ac.kr/,신한대학교 입학처
아주대학교,https://www.iajou.ac.kr/main/,아주대학교 입학처
경국대학교,https://ipsi.andong.ac.kr/new/admission/index.htm,경국대학교 입학처
안양대학교,https://enter.anyang.ac.kr/main,안양대학교 입학처
